,country,age,overall_score,gender,country_id
0,US,40,29,M,234
1,US,36,26,M,234
2,US,22,27,F,234
3,US,31,28,M,234
4,EU,30,25,M,70
5,CA,25,25,F,38
6,US,32,31,M,234
7,US,51,22,M,234
8,US,37,25,M,234
9,US,41,23,F,234
10,US,42,31,M,234
11,SE,31,31,F,198
12,GB,31,26,F,78
13,US,27,24,M,234
14,GB,29,27,M,78
15,GB,18,26,M,78
16,NZ,19,32,F,172
17,CA,19,24,M,38
18,DE,28,29,M,57
19,AE,34,26,F,1
20,US,51,31,F,234
21,BE,22,27,F,20
22,GB,54,31,M,78
23,DE,27,29,M,57
24,US,26,31,M,234
25,GB,33,26,F,78
26,IN,0,33,M,106
27,IN,25,28,M,106
28,US,38,25,M,234
29,US,46,24,F,234
30,US,33,28,M,234
31,US,19,26,M,234
32,US,23,26,M,234
33,US,35,23,F,234
34,US,33,25,M,234
35,US,22,32,F,234
36,US,35,25,F,234
37,US,43,29,F,234
38,NZ,0,27,0,172
39,US,49,27,F,234
40,HU,25,27,M,101
41,GB,56,28,F,78
42,US,24,25,M,234
43,FR,36,29,M,76
44,BE,38,27,F,20
45,SG,26,27,M,199
46,US,0,23,F,234
47,US,29,25,M,234
48,US,66,25,M,234
49,MX,48,29,F,158
50,US,28,27,M,234
51,US,21,27,M,234
52,GB,32,26,M,78
53,PL,22,25,O,180
54,CA,54,28,M,38
55,CA,49,27,F,38
56,AU,54,29,M,13
57,CA,23,25,M,38
58,CA,22,29,F,38
59,AU,23,21,M,13
60,AL,21,26,F,5
61,US,29,28,M,234
62,BR,15,28,F,31
63,US,32,19,M,234
64,AE,40,26,M,1
65,DE,22,28,M,57
66,DE,22,26,M,57
67,RO,22,30,F,190
68,RO,22,27,M,190
69,PT,38,24,M,185
70,GB,34,25,F,78
71,AU,26,27,F,13
72,GB,40,26,F,78
73,GB,26,24,F,78
74,CA,29,28,M,38
75,US,28,25,F,234
76,US,45,25,M,234
77,US,20,23,M,234
78,AU,16,27,F,13
79,SE,30,23,M,198
80,NL,44,22,M,167
81,GB,40,27,M,78
82,GB,43,31,F,78
83,BE,39,28,F,20
84,ZA,31,26,M,248
85,MX,41,25,F,158
86,US,14,27,F,234
87,US,60,26,F,234
88,CA,39,28,F,38
89,AU,22,25,M,13
90,US,15,28,M,234
91,US,27,28,M,234
92,MY,27,29,F,159
93,US,20,28,M,234
94,GB,30,26,M,78
95,US,27,22,F,234
96,US,0,24,F,234
97,US,27,25,F,234
98,GB,44,28,M,78
99,CA,23,28,F,38
100,ID,21,24,F,102
102,US,16,27,F,234
103,MX,21,26,M,158
104,CN,21,26,F,48
105,GB,51,26,F,78
106,BR,35,23,F,31
107,DE,33,26,F,57
108,US,58,31,F,234
109,NL,41,29,M,167
110,US,21,26,F,234
111,US,19,26,M,234
112,US,66,25,F,234
113,US,39,27,M,234
114,GB,31,23,M,78
115,KR,27,29,F,123
116,PT,30,23,F,185
117,US,21,28,F,234
118,US,20,26,F,234
119,US,62,28,M,234
120,TR,18,27,M,226
121,US,19,25,F,234
122,US,35,28,F,234
123,BG,35,28,M,22
124,US,40,29,F,234
125,US,46,28,M,234
126,US,23,24,F,234
127,ES,14,28,F,68
128,GB,49,24,M,78
129,DE,51,24,F,57
130,US,20,28,M,234
131,US,23,29,M,234
132,NZ,21,26,M,172
133,IL,49,26,M,104
134,US,34,29,F,234
135,US,22,26,M,234
136,GB,33,23,M,78
137,PL,24,29,F,180
138,US,19,14,M,234
139,AU,55,27,F,13
140,MX,21,24,M,158
141,US,62,29,M,234
142,NL,23,25,F,167
143,NL,34,27,M,167
144,CA,39,26,F,38
145,US,45,35,M,234
146,US,41,28,F,234
147,US,20,26,F,234
148,US,29,29,F,234
149,PL,28,29,F,180
150,DE,39,25,F,57
151,ID,25,26,F,102
152,DE,29,23,M,57
153,IN,49,31,M,106
154,CA,22,26,M,38
155,US,45,25,F,234
156,GB,39,28,F,78
157,US,51,27,M,234
158,US,45,27,F,234
159,AU,43,27,F,13
160,US,33,29,F,234
161,US,46,26,F,234
162,CA,16,26,M,38
163,US,26,25,F,234
164,ZA,39,28,M,248
165,US,44,27,M,234
166,US,26,31,M,234
167,US,21,25,M,234
168,AU,23,26,M,13
169,US,41,27,M,234
170,HK,35,25,M,96
171,GB,20,25,M,78
172,US,18,28,F,234
173,US,42,24,F,234
174,AU,44,27,M,13
175,AU,44,28,M,13
176,AU,34,31,F,13
177,US,32,26,M,234
178,CA,61,28,M,38
179,GB,28,24,M,78
180,US,21,26,F,234
181,CA,27,30,F,38
182,US,39,37,M,234
183,US,39,27,M,234
184,DE,33,28,F,57
185,BE,41,29,M,20
186,US,54,26,F,234
187,US,44,26,F,234
188,GR,32,25,M,90
189,GB,27,29,M,78
190,US,13,25,F,234
191,PH,19,23,F,178
192,US,49,26,F,234
193,IN,26,25,M,106
194,US,21,26,M,234
195,US,53,33,M,234
196,US,37,24,M,234
197,ES,40,24,F,68
198,JP,51,26,F,115
199,US,40,19,M,234
200,SI,28,26,F,201
201,US,22,26,F,234
202,GB,29,25,F,78
203,US,17,27,F,234
204,HK,40,10,F,96
205,CA,21,25,F,38
206,US,26,25,F,234
207,US,38,29,M,234
208,HK,23,18,F,96
209,US,31,29,M,234
210,EU,54,31,M,70
211,CA,52,27,F,38
212,RO,25,28,F,190
213,US,20,22,F,234
214,US,59,26,F,234
215,CA,24,28,M,38
216,US,47,26,M,234
217,GB,44,25,F,78
218,US,42,25,M,234
219,GB,53,28,M,78
220,CA,22,25,F,38
221,PK,21,29,F,179
222,PK,12,29,M,179
223,PK,45,25,M,179
224,GB,21,30,F,78
225,US,24,25,M,234
226,US,14,21,F,234
227,US,14,23,F,234
228,US,25,23,F,234
230,CL,49,21,F,46
231,GB,25,24,M,78
232,US,18,30,M,234
233,US,27,28,F,234
234,US,34,26,F,234
235,SG,36,29,M,199
236,TR,20,25,M,226
237,US,43,30,F,234
238,AU,35,29,M,13
239,GB,23,26,F,78
240,IN,40,30,M,106
241,US,59,24,F,234
242,US,31,25,F,234
243,RU,29,28,M,192
244,HK,18,28,F,96
245,RO,40,24,F,190
246,NO,23,22,M,168
247,ES,19,25,M,68
248,FR,40,28,F,76
249,US,27,26,M,234
250,JE,21,27,F,112
251,JE,19,31,M,112
252,US,51,24,F,234
253,US,14,29,M,234
254,GH,24,26,F,83
255,NZ,18,29,F,172
256,GB,29,28,F,78
257,GB,19,30,F,78
258,US,21,26,M,234
259,DK,27,29,F,59
260,US,35,27,F,234
261,GB,28,27,M,78
262,AU,22,29,F,13
263,US,30,27,F,234
264,US,20,20,F,234
265,IN,17,30,M,106
266,GB,57,23,F,78
267,IL,16,25,F,104
268,US,22,24,F,234
269,GB,27,25,F,78
270,GB,19,24,M,78
271,GB,36,27,F,78
272,US,19,25,F,234
273,US,19,30,M,234
274,US,16,29,M,234
275,US,39,24,M,234
276,US,24,28,F,234
277,US,18,22,M,234
278,GB,42,29,F,78
279,IN,21,27,M,106
280,IN,24,29,F,106
281,IT,22,28,F,111
282,US,16,32,F,234
283,GB,21,25,M,78
284,US,21,30,M,234
285,US,21,30,M,234
286,GB,55,23,F,78
287,US,39,25,M,234
288,DE,37,23,F,57
289,US,59,30,F,234
290,US,20,30,F,234
291,US,39,23,M,234
292,US,25,27,M,234
294,NZ,36,25,F,172
295,US,42,29,F,234
296,AU,29,27,F,13
297,IN,22,27,F,106
298,US,19,28,F,234
299,IT,24,25,M,111
300,US,25,26,F,234
301,GB,47,29,M,78
302,CA,53,26,F,38
303,US,13,31,M,234
304,US,24,25,M,234
305,US,20,26,M,234
306,US,19,29,F,234
307,GB,46,30,M,78
308,FR,30,27,M,76
309,MY,30,32,M,159
310,US,60,29,M,234
311,GB,45,26,M,78
312,AU,44,27,M,13
313,BR,55,28,F,31
314,GB,50,24,F,78
315,GB,29,26,F,78
316,NZ,34,27,F,172
317,US,40,31,F,234
318,US,22,24,F,234
319,LT,23,29,F,134
320,IE,36,26,M,103
321,SG,17,30,F,199
322,CA,48,27,M,38
323,LV,22,31,M,136
324,MX,28,26,F,158
325,US,36,29,M,234
326,US,31,28,F,234
327,FR,33,30,M,76
328,US,58,26,F,234
329,IN,16,30,M,106
330,IN,17,30,M,106
331,GB,44,28,M,78
332,US,40,26,F,234
333,GB,16,29,F,78
334,GB,37,30,M,78
335,US,51,28,M,234
336,US,19,29,F,234
337,US,20,28,M,234
338,CA,21,23,M,38
339,US,24,25,F,234
340,US,29,30,F,234
341,US,23,24,F,234
342,GB,40,24,M,78
343,US,22,29,F,234
344,GB,40,22,F,78
345,US,58,30,M,234
346,US,20,29,F,234
347,DK,34,29,F,59
348,DK,34,25,F,59
349,US,35,29,M,234
350,CA,18,29,F,38
351,NZ,34,26,F,172
352,CA,28,32,F,38
353,US,20,26,M,234
354,ES,18,29,M,68
355,BR,28,32,M,31
356,IE,16,25,M,103
357,US,52,25,F,234
358,US,17,29,M,234
359,CA,51,27,F,38
360,ID,20,28,F,102
361,US,19,24,F,234
362,US,19,28,M,234
363,US,19,24,F,234
364,US,22,25,F,234
365,US,17,25,F,234
366,US,20,26,F,234
367,US,20,26,F,234
368,US,26,31,F,234
369,US,55,29,F,234
370,BA,30,28,F,17
371,GB,22,28,M,78
372,PL,18,27,F,180
373,US,60,23,M,234
374,ID,19,36,F,102
375,NO,35,25,M,168
376,GB,53,24,F,78
377,CA,19,29,F,38
378,US,21,25,F,234
379,US,15,28,F,234
380,IS,35,29,F,110
381,US,19,31,M,234
382,CA,17,25,M,38
383,IE,38,30,M,103
384,US,32,28,M,234
385,NO,22,23,M,168
386,GB,48,24,F,78
387,US,29,27,F,234
388,CA,25,23,M,38
389,GB,29,26,M,78
390,EU,38,26,M,70
391,CA,26,32,M,38
392,AU,22,30,M,13
393,CA,65,30,F,38
394,US,40,29,M,234
395,US,58,24,F,234
396,US,34,29,M,234
397,CA,32,25,M,38
398,FR,16,30,F,76
399,GB,13,28,F,78
400,CA,23,28,F,38
401,US,56,29,F,234
402,US,29,28,F,234
403,FI,24,27,M,71
404,US,52,26,M,234
405,US,21,26,M,234
406,IN,14,27,M,106
407,DE,38,26,F,57
408,NZ,31,30,M,172
409,US,39,26,M,234
410,PL,32,29,M,180
411,US,42,28,M,234
412,GB,31,27,F,78
413,GB,48,24,M,78
414,US,46,26,M,234
415,US,37,26,F,234
416,US,26,27,F,234
417,US,48,26,M,234
418,US,20,30,M,234
419,US,33,26,F,234
420,NZ,23,27,M,172
421,GB,21,24,M,78
422,GH,25,27,M,83
423,DE,26,30,M,57
424,MY,30,29,F,159
425,US,29,25,M,234
426,GB,53,26,F,78
427,BR,24,28,M,31
428,US,24,26,F,234
429,HR,32,26,F,99
430,US,22,20,F,234
432,MY,33,25,F,159
433,CA,47,23,M,38
434,MY,15,28,F,159
435,US,21,24,F,234
436,US,28,28,M,234
437,US,1,24,F,234
438,US,50,25,F,234
439,US,28,31,F,234
440,JP,33,28,F,115
441,DE,23,28,F,57
442,SG,22,29,F,199
443,AU,0,25,M,13
444,DE,51,25,M,57
445,BA,49,23,M,17
446,US,52,28,M,234
447,NZ,42,23,F,172
448,US,28,27,F,234
449,GB,30,28,F,78
450,IE,20,27,F,103
451,US,22,29,F,234
452,US,25,30,M,234
453,CH,35,27,M,43
454,FR,47,30,M,76
455,TR,37,26,F,226
456,IN,17,29,M,106
457,CA,22,26,F,38
458,GB,32,25,F,78
459,US,29,27,F,234
460,US,18,27,F,234
462,US,45,22,M,234
463,IN,25,28,M,106
464,CA,19,27,M,38
465,US,22,29,M,234
466,NO,26,28,M,168
467,US,44,29,F,234
468,RO,23,27,F,190
469,US,56,25,F,234
470,US,17,28,M,234
471,TT,21,24,F,227
472,HK,17,26,F,96
473,US,42,24,F,234
474,US,18,26,F,234
475,IN,17,28,M,106
476,GB,36,25,F,78
477,IN,33,26,F,106
478,IN,26,33,M,106
479,US,56,27,M,234
480,DE,37,27,M,57
481,US,24,24,F,234
482,GB,22,25,M,78
483,US,48,30,F,234
484,US,34,21,F,234
485,HK,40,26,F,96
486,US,21,26,M,234
487,PH,19,30,M,178
488,CA,33,30,F,38
489,IN,24,24,F,106
490,US,23,30,M,234
491,US,23,29,M,234
492,GB,22,27,M,78
493,US,52,27,F,234
494,BR,0,29,0,31
495,CA,24,24,M,38
496,US,45,25,M,234
497,AU,42,27,M,13
498,EU,28,26,M,70
499,NL,34,24,M,167
500,GB,45,35,M,78
501,MY,24,28,M,159
502,HK,34,26,F,96
503,US,21,29,M,234
504,US,20,24,F,234
505,IN,0,28,0,106
506,US,44,29,M,234
507,US,61,27,F,234
508,US,16,27,M,234
510,IN,17,27,M,106
511,US,70,24,F,234
512,US,26,26,F,234
513,US,49,23,M,234
514,US,22,28,F,234
515,US,23,28,F,234
516,US,25,28,F,234
517,LT,33,25,M,134
518,NL,40,25,F,167
519,GB,36,27,F,78
520,NL,37,26,F,167
521,US,37,22,F,234
522,US,25,25,F,234
523,US,56,25,F,234
524,US,28,29,M,234
525,US,23,26,F,234
526,US,56,25,F,234
527,US,23,26,F,234
528,US,22,26,F,234
529,US,31,27,F,234
530,CA,0,26,0,38
531,US,32,27,M,234
532,US,38,23,F,234
533,US,28,29,F,234
534,IN,17,24,M,106
535,US,27,29,F,234
536,US,28,25,F,234
537,US,23,27,M,234
538,US,37,24,M,234
539,IN,22,25,F,106
540,US,19,28,F,234
541,US,6,25,F,234
542,GB,28,24,F,78
543,ZA,60,28,F,248
544,AU,39,28,F,13
545,GB,29,24,M,78
546,CA,30,25,F,38
547,US,31,26,F,234
548,US,49,26,F,234
549,US,23,27,F,234
550,US,12,29,F,234
551,NL,45,30,M,167
552,US,25,27,F,234
553,US,28,24,F,234
554,US,26,30,F,234
555,US,22,26,F,234
556,US,31,23,F,234
557,US,22,28,M,234
558,US,55,32,M,234
559,US,25,26,F,234
560,US,25,24,F,234
561,US,46,24,F,234
562,US,22,24,F,234
563,US,22,25,F,234
564,US,41,26,F,234
565,US,26,25,F,234
566,US,27,22,F,234
567,HK,35,26,F,96
568,US,22,24,M,234
569,US,24,22,F,234
570,GB,31,26,M,78
571,US,33,25,F,234
572,US,24,29,F,234
573,US,22,26,F,234
574,CA,20,22,F,38
575,US,33,27,M,234
576,US,15,27,M,234
577,AT,21,24,M,12
578,US,22,27,F,234
579,GB,60,32,F,78
580,US,21,25,F,234
581,US,24,23,F,234
582,US,49,24,F,234
583,NL,24,28,F,167
584,US,22,31,F,234
585,US,26,24,F,234
586,US,24,26,F,234
587,US,57,24,F,234
588,US,23,27,F,234
589,US,22,25,M,234
590,GB,48,29,M,78
591,US,28,28,F,234
592,US,25,22,F,234
593,US,24,26,F,234
594,US,24,30,F,234
595,GB,61,26,M,78
596,GB,23,26,F,78
597,CH,39,27,F,43
598,US,25,26,F,234
599,US,26,26,M,234
600,US,30,30,F,234
601,US,25,25,F,234
602,US,23,26,F,234
603,US,28,28,F,234
604,CA,31,29,F,38
605,US,23,27,F,234
606,US,22,27,F,234
607,US,32,23,F,234
608,US,32,25,F,234
609,US,24,26,F,234
610,BR,24,25,M,31
611,US,26,27,M,234
612,US,22,30,F,234
613,GB,46,27,M,78
614,GB,27,26,F,78
615,US,34,30,M,234
616,US,21,30,F,234
617,AU,20,31,F,13
618,US,22,26,F,234
619,IN,17,40,M,106
620,US,32,27,M,234
621,AU,28,24,F,13
622,GB,24,30,F,78
623,IN,23,26,M,106
624,IN,23,25,M,106
625,US,17,28,F,234
626,US,25,25,F,234
627,US,22,26,F,234
628,CA,21,29,M,38
629,US,30,20,F,234
630,US,30,17,F,234
631,US,52,25,M,234
632,IN,20,27,M,106
633,US,25,29,F,234
634,GB,39,26,F,78
635,AU,20,27,M,13
636,US,25,27,F,234
637,US,35,27,M,234
638,US,32,29,M,234
639,US,30,27,M,234
640,IN,36,18,M,106
641,HK,0,22,M,96
642,ZA,31,28,M,248
643,NL,23,26,F,167
644,GB,33,30,M,78
645,GB,35,24,F,78
646,SE,36,28,F,198
647,TT,20,27,M,227
648,GB,14,25,F,78
649,GB,23,28,M,78
650,GB,28,32,M,78
651,US,24,24,F,234
652,HK,50,25,M,96
653,US,21,28,F,234
654,IT,32,24,M,111
655,US,24,24,F,234
656,US,19,29,F,234
657,US,57,25,F,234
658,US,42,27,M,234
659,AU,37,27,F,13
660,US,55,23,F,234
661,GB,25,23,M,78
662,US,31,30,F,234
663,NO,20,26,M,168
664,BG,43,25,F,22
665,IN,28,25,F,106
666,HK,22,27,F,96
667,IT,40,29,M,111
668,US,47,22,M,234
669,ZA,25,34,F,248
670,US,23,25,M,234
671,PT,20,30,F,185
672,ZA,31,25,M,248
673,GB,16,29,M,78
674,RO,30,26,M,190
675,US,56,25,F,234
676,MT,22,25,F,154
677,US,18,28,F,234
678,US,20,29,F,234
679,US,47,28,F,234
680,US,28,23,F,234
681,US,18,29,M,234
682,US,28,28,F,234
683,GB,32,26,F,78
684,IT,65,26,M,111
685,CZ,39,27,F,56
686,US,18,27,M,234
687,GB,45,24,M,78
688,QA,28,23,F,188
689,US,28,26,F,234
690,IN,25,28,M,106
691,US,20,25,M,234
692,GB,23,27,M,78
693,US,19,20,M,234
694,US,55,30,M,234
695,US,55,25,M,234
696,GB,22,25,M,78
697,GB,32,26,M,78
698,US,36,29,M,234
699,GB,29,23,M,78
700,US,38,25,F,234
701,FR,43,31,M,76
702,US,26,28,F,234
703,US,61,25,F,234
704,DE,20,28,F,57
705,FR,30,25,F,76
706,NZ,36,28,F,172
707,DE,31,28,M,57
708,JP,25,22,M,115
709,PT,31,30,F,185
710,GB,47,26,F,78
711,NG,56,35,M,165
712,US,37,27,F,234
713,US,37,23,M,234
714,ES,20,30,F,68
715,GB,16,24,F,78
716,US,32,30,M,234
717,US,46,27,M,234
718,US,37,23,F,234
719,US,52,26,M,234
720,IE,24,25,M,103
721,US,35,31,M,234
722,US,35,28,F,234
724,CA,21,29,F,38
725,US,20,28,F,234
726,RO,36,25,O,190
727,US,34,28,F,234
728,US,17,25,F,234
729,FI,33,28,F,71
730,US,52,25,M,234
731,US,24,22,F,234
732,GB,22,28,M,78
733,US,64,25,M,234
734,US,27,29,F,234
735,IN,20,27,M,106
736,US,20,29,M,234
737,AU,37,29,F,13
738,GB,30,26,M,78
739,US,44,29,F,234
740,GR,49,28,M,90
741,GR,49,19,M,90
742,GR,26,29,M,90
743,RU,22,32,M,192
744,GB,31,27,F,78
745,US,30,28,F,234
746,US,11,25,M,234
747,US,14,27,M,234
748,US,14,30,M,234
749,US,11,25,M,234
750,US,25,30,M,234
751,US,20,28,M,234
752,US,39,25,M,234
753,GB,51,27,M,78
754,ES,35,28,F,68
755,SE,21,27,F,198
756,US,27,24,F,234
757,US,20,30,F,234
758,US,34,26,F,234
759,CA,50,30,F,38
760,CA,50,24,F,38
761,US,51,26,F,234
762,US,50,25,F,234
763,AU,39,25,F,13
764,IN,34,10,M,106
765,IE,42,23,M,103
766,GB,35,25,M,78
767,NO,17,24,F,168
768,US,29,25,M,234
769,PT,25,28,F,185
770,US,59,34,F,234
771,CA,64,26,F,38
772,TR,28,22,M,226
773,TR,28,26,M,226
774,SE,21,24,M,198
776,PL,20,25,M,180
777,GB,21,22,M,78
778,GB,20,25,F,78
779,DE,25,29,M,57
780,US,21,26,M,234
781,US,20,30,F,234
782,ID,22,25,F,102
783,US,43,33,F,234
784,US,17,27,F,234
786,DE,25,27,F,57
787,US,21,28,M,234
788,GB,31,19,F,78
789,GB,36,16,F,78
790,GB,37,23,F,78
791,GB,20,26,F,78
792,US,33,25,M,234
794,US,30,27,F,234
795,MY,23,34,F,159
796,AU,34,27,M,13
797,US,40,29,M,234
798,GB,31,30,F,78
799,ZA,57,28,M,248
800,AU,34,29,F,13
801,GB,52,25,M,78
802,US,34,27,F,234
803,BG,18,25,M,22
804,US,35,27,F,234
805,US,35,27,M,234
806,NZ,48,25,M,172
808,US,19,25,F,234
809,GB,46,27,F,78
810,HU,24,25,F,101
811,DE,27,28,F,57
812,AU,36,30,M,13
813,AU,35,26,F,13
814,MY,22,31,F,159
815,US,19,25,F,234
816,US,53,30,M,234
817,PK,22,28,F,179
818,US,50,23,F,234
819,US,30,28,F,234
820,IE,22,27,F,103
821,US,18,26,M,234
822,CA,23,28,M,38
823,US,26,30,M,234
824,US,20,27,M,234
825,US,16,26,F,234
826,GB,24,27,F,78
827,US,61,25,F,234
828,US,41,29,M,234
829,AU,47,27,F,13
830,IE,55,25,F,103
831,GB,18,31,M,78
832,ES,26,26,M,68
833,US,25,24,F,234
834,ZA,29,24,F,248
835,CA,25,29,M,38
836,US,28,25,M,234
837,ID,39,11,F,102
838,ZA,36,26,F,248
839,US,61,25,M,234
840,US,38,27,F,234
841,US,31,28,M,234
842,TT,38,29,F,227
843,GB,36,25,M,78
844,DE,45,25,M,57
845,US,38,31,F,234
846,US,4,26,M,234
847,US,25,27,M,234
848,US,28,30,F,234
849,CA,49,28,M,38
850,GB,34,25,F,78
851,GB,19,28,F,78
852,GB,22,26,M,78
853,US,14,40,F,234
854,US,37,23,F,234
855,US,46,25,F,234
856,GB,53,25,M,78
857,ZA,27,27,F,248
858,NL,27,23,F,167
859,US,62,25,F,234
860,US,24,28,M,234
861,GB,42,28,M,78
862,GB,15,28,F,78
863,MX,24,25,M,158
864,CA,56,25,M,38
865,US,39,27,F,234
866,FR,26,23,M,76
867,DE,30,26,M,57
868,MY,23,25,F,159
869,US,21,24,M,234
870,JP,46,25,F,115
871,DE,21,26,F,57
872,US,33,32,M,234
873,GB,39,28,F,78
874,GB,18,22,F,78
875,NO,40,28,F,168
876,US,30,28,M,234
877,AU,22,28,F,13
878,US,17,28,F,234
879,US,34,33,F,234
880,GB,29,30,M,78
881,US,20,26,M,234
883,US,64,24,M,234
884,US,63,23,M,234
885,US,18,30,F,234
886,GB,26,25,M,78
887,GB,25,24,F,78
888,RO,20,25,M,190
889,US,35,27,F,234
890,AU,20,31,M,13
891,GB,43,25,F,78
892,US,44,26,M,234
893,US,0,26,0,234
894,US,16,25,M,234
895,RO,22,25,F,190
896,ZA,54,26,M,248
897,US,36,28,F,234
898,CA,54,23,F,38
899,US,52,28,F,234
900,GB,22,25,F,78
901,US,38,27,M,234
902,US,38,27,M,234
903,CA,26,26,F,38
904,NZ,21,26,M,172
905,FR,30,25,M,76
906,US,20,25,M,234
907,US,23,28,F,234
908,GB,36,25,F,78
909,ES,32,29,F,68
910,US,0,27,0,234
911,US,27,25,M,234
912,US,32,25,F,234
913,PH,22,18,F,178
914,US,23,27,F,234
915,NL,23,27,M,167
916,GB,41,29,F,78
917,GB,39,26,M,78
919,US,62,25,F,234
920,GB,22,27,M,78
921,GB,20,28,O,78
922,US,36,26,M,234
923,AU,48,24,F,13
924,US,20,22,F,234
925,CL,35,25,M,46
926,CA,45,32,F,38
927,US,32,27,F,234
928,GB,35,28,F,78
929,GB,33,24,M,78
930,US,45,30,F,234
931,GB,58,28,M,78
932,US,52,26,F,234
933,US,0,24,0,234
934,US,0,25,0,234
935,GB,47,24,F,78
937,GB,24,24,F,78
938,US,18,28,M,234
939,BR,27,29,M,31
940,US,65,25,M,234
941,US,27,24,M,234
942,GB,32,31,M,78
943,AU,30,22,F,13
944,US,37,26,F,234
945,US,28,28,F,234
946,US,56,25,M,234
947,US,26,29,F,234
948,US,25,30,F,234
949,US,34,25,F,234
950,NL,20,29,M,167
951,US,39,26,M,234
952,US,16,31,M,234
953,US,53,28,F,234
954,US,23,29,F,234
955,CH,32,24,F,43
956,CA,18,24,F,38
957,ID,22,27,F,102
958,US,52,25,F,234
959,US,40,25,F,234
960,US,26,27,F,234
961,US,15,28,M,234
962,US,45,25,F,234
963,US,37,28,F,234
964,AU,19,21,M,13
965,GB,46,27,F,78
966,DK,42,28,F,59
967,GB,25,26,F,78
968,US,18,25,M,234
969,US,63,27,M,234
970,US,20,23,F,234
971,US,15,27,F,234
972,IN,22,29,F,106
973,AU,58,26,M,13
974,SE,20,27,M,198
975,CN,50,26,M,48
976,AU,50,31,M,13
977,US,24,21,F,234
978,IE,49,30,M,103
979,GB,36,23,F,78
980,US,19,26,M,234
981,US,16,30,F,234
982,PL,24,25,F,180
983,US,39,29,M,234
984,CN,44,25,M,48
985,AU,43,28,M,13
986,AT,37,27,F,12
987,GB,39,28,M,78
988,NL,23,25,F,167
989,GB,57,22,M,78
990,GB,20,26,M,78
991,IT,34,25,M,111
992,DE,30,29,M,57
993,GB,64,25,M,78
994,GB,54,25,F,78
995,US,38,26,M,234
996,US,28,25,M,234
997,US,38,26,O,234
998,US,21,30,F,234
999,US,24,26,F,234
1000,US,24,24,M,234
1001,US,30,25,F,234
1002,US,36,25,M,234
1003,US,51,22,M,234
1004,GR,24,36,F,90
1005,US,41,33,M,234
1006,RO,23,31,F,190
1007,IL,25,28,M,104
1008,US,34,25,M,234
1009,GB,41,29,M,78
1010,US,24,24,F,234
1011,GB,31,26,F,78
1012,US,17,25,M,234
1013,IN,18,28,F,106
1014,AU,37,25,M,13
1015,US,20,25,F,234
1016,MY,19,28,M,159
1017,US,22,28,M,234
1018,US,43,21,F,234
1019,US,61,24,F,234
1020,US,22,26,F,234
1021,US,39,30,F,234
1022,US,42,28,M,234
1023,GB,42,24,F,78
1024,NZ,19,28,M,172
1025,CA,28,26,M,38
1026,US,23,27,M,234
1027,GB,55,30,F,78
1028,NL,42,24,M,167
1029,DK,22,25,M,59
1030,FI,23,29,F,71
1031,US,40,30,F,234
1032,DE,22,23,F,57
1033,US,24,27,F,234
1034,US,31,25,M,234
1035,US,28,28,M,234
1036,GB,31,29,F,78
1037,DE,22,26,M,57
1038,PH,23,19,F,178
1039,SG,32,29,F,199
1040,GB,24,24,F,78
1041,GB,30,26,M,78
1042,US,22,26,F,234
1043,US,19,24,M,234
1044,US,37,24,F,234
1045,US,21,25,F,234
1046,US,14,31,M,234
1047,IN,23,29,F,106
1048,SG,17,26,F,199
1049,US,40,21,F,234
1050,PT,18,24,M,185
1051,US,21,29,M,234
1052,GB,22,27,F,78
1053,IN,16,23,F,106
1054,AU,21,27,F,13
1055,TH,24,25,M,219
1056,IL,28,35,M,104
1057,IN,24,25,F,106
1058,US,41,29,F,234
1059,US,23,32,F,234
1060,GB,49,21,M,78
1061,MY,21,27,F,159
1062,US,23,28,M,234
1063,GB,24,27,F,78
1064,DE,39,29,F,57
1065,US,45,28,F,234
1066,US,68,29,F,234
1067,US,40,31,F,234
1068,US,23,25,M,234
1069,US,48,24,M,234
1070,US,18,26,F,234
1071,GB,40,24,M,78
1072,US,24,26,F,234
1073,EU,50,26,F,70
1074,GB,34,29,F,78
1075,CH,30,25,M,43
1076,AU,26,25,F,13
1077,US,34,27,F,234
1078,US,26,24,F,234
1079,US,18,27,F,234
1080,AE,32,25,F,1
1081,US,17,27,F,234
1082,US,25,26,F,234
1083,FR,52,25,F,76
1084,US,31,27,M,234
1085,BR,27,28,M,31
1086,US,14,25,F,234
1087,GB,23,28,M,78
1088,US,65,29,M,234
1089,CH,23,28,F,43
1090,GB,38,26,F,78
1091,US,41,28,M,234
1092,GB,15,24,F,78
1093,RO,41,28,M,190
1094,PL,31,28,M,180
1095,US,19,17,F,234
1096,US,23,28,F,234
1097,CA,33,26,F,38
1098,AU,44,27,M,13
1099,US,18,29,F,234
1100,SE,22,27,M,198
1101,BR,23,29,F,31
1102,US,19,26,F,234
1103,US,30,27,F,234
1104,CN,26,30,M,48
1105,CA,27,27,F,38
1106,US,18,25,F,234
1107,GB,25,28,M,78
1108,US,45,29,F,234
1109,GB,34,28,F,78
1110,US,24,30,F,234
1111,NO,40,30,M,168
1112,US,18,24,M,234
1113,PE,30,24,M,175
1114,US,26,33,M,234
1115,US,20,26,M,234
1116,GB,57,26,M,78
1117,CA,0,26,0,38
1118,IN,49,25,M,106
