,country,age,overall_score,gender,country_id
37729,KE,31,27,M,116
37730,GB,19,25,F,78
37731,SE,18,28,F,198
37732,GE,21,26,M,80
37733,GE,21,25,F,80
37734,MY,28,27,F,159
37735,GB,23,26,F,78
37736,GB,34,27,F,78
37737,US,41,29,M,234
37738,US,22,25,F,234
37739,GB,33,26,F,78
37740,GB,53,23,F,78
37741,GB,20,24,F,78
37742,GB,38,29,F,78
37743,US,16,26,F,234
37744,GB,51,22,F,78
37745,US,16,26,F,234
37746,GB,18,26,M,78
37747,AU,60,24,M,13
37748,IN,36,22,M,106
37749,US,18,26,0,234
37750,GB,48,26,F,78
37751,CZ,16,25,O,56
37752,US,15,24,M,234
37753,SE,42,25,F,198
37754,DE,18,25,F,57
37755,CH,16,30,F,43
37756,GB,50,28,M,78
37757,GB,26,29,F,78
37758,PK,22,27,F,179
37759,GB,40,28,F,78
37760,FI,29,28,O,71
37761,US,66,27,M,234
37762,GR,22,25,F,90
37763,GB,21,25,F,78
37764,US,12,25,F,234
37765,GB,21,26,F,78
37766,NZ,19,29,F,172
37767,US,26,26,F,234
37768,AU,23,25,M,13
37769,US,29,31,F,234
37770,US,15,26,F,234
37771,GB,22,17,M,78
37772,BA,21,28,M,17
37773,CA,34,26,F,38
37774,US,18,24,M,234
37775,PH,22,31,O,178
37776,DE,29,27,M,57
37777,GB,18,26,F,78
37778,CA,50,26,M,38
37779,RS,25,24,M,191
37780,US,17,36,F,234
37781,US,19,27,M,234
37782,TW,22,28,M,229
37783,US,29,32,F,234
37784,US,14,28,M,234
37785,CA,21,28,M,38
37786,CA,17,26,F,38
37787,CA,14,25,F,38
37788,US,22,24,F,234
37790,US,60,28,M,234
37791,CA,22,27,F,38
37792,US,13,26,M,234
37793,MX,21,25,F,158
37794,MY,25,29,F,159
37795,RO,27,26,M,190
37796,SE,42,30,M,198
37797,US,14,27,F,234
37798,US,60,30,M,234
37799,GB,53,25,F,78
37800,RU,30,10,M,192
37801,US,20,24,M,234
37802,CA,26,22,F,38
37803,IN,30,31,M,106
37804,AU,25,25,F,13
37805,RS,60,28,M,191
37806,US,16,31,M,234
37807,NL,26,25,M,167
37808,RU,24,28,F,192
37809,SG,0,25,M,199
37810,EU,22,33,M,70
37811,PK,24,26,F,179
37812,US,38,22,F,234
37813,GB,32,27,F,78
37814,PH,49,24,F,178
37815,GB,56,28,F,78
37816,GB,26,25,F,78
37817,GB,18,25,F,78
37818,FR,36,23,M,76
37819,MY,17,29,F,159
37820,GB,42,28,M,78
37821,GB,16,29,F,78
37822,GB,50,29,F,78
37823,SE,17,30,F,198
37824,GB,19,27,M,78
37825,US,40,25,F,234
37826,US,36,26,F,234
37827,US,21,26,M,234
37828,DK,47,26,F,59
37829,MX,19,34,M,158
37830,AT,21,27,F,12
37831,RO,16,24,M,190
37832,SE,21,25,M,198
37833,JM,24,26,F,113
37834,CA,21,27,F,38
37835,US,38,25,F,234
37836,HR,20,26,M,99
37837,US,21,29,M,234
37838,US,17,31,F,234
37840,CA,52,27,M,38
37841,ES,19,26,F,68
37842,SE,17,33,M,198
37843,US,35,26,F,234
37844,GB,17,28,M,78
37845,US,28,23,M,234
37846,US,25,27,M,234
37847,GB,44,26,M,78
37848,CA,22,30,M,38
37849,CA,22,24,F,38
37850,GB,56,28,F,78
37851,US,57,25,M,234
37853,NO,20,29,F,168
37854,DE,15,24,F,57
37855,US,34,27,F,234
37856,GB,14,27,F,78
37857,SE,19,27,M,198
37858,US,41,23,F,234
37859,NO,44,22,F,168
37860,US,13,25,F,234
37861,BA,19,26,F,17
37862,TT,44,27,F,227
37863,RU,27,33,M,192
37864,US,42,27,M,234
37865,GB,24,26,F,78
37866,US,36,23,F,234
37867,GB,27,28,F,78
37868,CA,16,27,F,38
37869,AR,19,28,F,10
37870,CA,15,26,M,38
37871,FI,17,23,F,71
37872,NZ,33,27,F,172
37873,AU,51,25,F,13
37874,DE,28,29,M,57
37875,CL,27,28,M,46
37876,US,57,25,F,234
37877,US,20,22,M,234
37878,GB,26,28,F,78
37880,US,20,27,F,234
37881,US,48,25,M,234
37882,AU,38,24,M,13
37883,PH,14,28,F,178
37884,GB,36,28,F,78
37885,CA,50,24,0,38
37886,AU,17,26,M,13
37887,US,20,30,M,234
37888,AU,23,24,F,13
37889,GB,27,29,F,78
37890,US,36,26,F,234
37891,US,20,31,O,234
37892,CA,19,22,F,38
37893,US,19,24,F,234
37894,US,25,26,O,234
37895,US,36,23,F,234
37896,US,20,27,F,234
37897,US,14,25,F,234
37898,AU,17,27,F,13
37899,US,26,28,F,234
37900,IN,24,24,F,106
37901,US,31,27,M,234
37902,JO,31,34,M,114
37903,CA,24,27,F,38
37904,US,56,30,M,234
37905,US,38,30,M,234
37906,US,17,24,F,234
37907,CA,51,27,M,38
37908,IN,21,25,F,106
37909,AT,26,30,F,12
37910,US,16,28,F,234
37911,PK,38,27,M,179
37912,US,18,26,F,234
37913,GB,21,27,F,78
37914,US,14,23,M,234
37915,US,53,28,0,234
37916,LK,25,29,F,131
37917,US,46,30,M,234
37918,IN,21,22,M,106
37919,LB,29,26,F,128
37920,US,27,31,M,234
37921,US,18,30,M,234
37922,AU,41,27,F,13
37923,PH,16,28,F,178
37924,HK,12,10,F,96
37925,BD,25,30,F,19
37926,US,54,26,0,234
37927,PH,22,29,F,178
